Make,Model,Miles,Year,Exterior Color,Interior Color,Other Info,Price
Ford,Super Duty F-350 Chassis Cab,"77,338 miles",2018,White,Gray,"No accidents, 1 Owner, Fleet use","$38,995 "
Ford,F-150,"158,483 miles",2011,White,Unknown,"1 accident, 5 Owners, Personal use","$18,995 "
Chevrolet,Silverado 1500,"4,040 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$39,980 "
Chevrolet,Silverado 1500,"8,274 miles",2020,Gray,Black,"No accidents, 1 Owner, Personal use","$43,500 "
Ford,F-150,"44,464 miles",2019,Black,Unknown,"No accidents, 1 Owner, Personal use","$36,846 "
Ford,F-150,"40,422 miles",2017,Blue,Gray,"No accidents, 1 Owner, Fleet use","$34,500 "
Chevrolet,Silverado 1500,"135,902 miles",2004,Black,Gray,"No accidents, 3 Owners, Fleet use","$8,591 "
Ram,2500,"97,527 miles",2014,Blue,Unknown,"No accidents, 1 Owner, Personal use","$26,995 "
Nissan,Titan,"33,248 miles",2017,Black,Black,"No accidents, 1 Owner, Personal use","$38,594 "
Nissan,Titan,"14,548 miles",2019,Black,Brown,"1 accident, 1 Owner, Personal use","$46,295 "
Ram,1500,"13,635 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$32,000 "
Chevrolet,Silverado 1500,"7,196 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$28,995 "
Chevrolet,Silverado 1500,"11,621 miles",2020,Silver,Black,"No accidents, 1 Owner, Personal use","$39,999 "
Nissan,Frontier,"30,882 miles",2019,Silver,Gray,"No accidents, 1 Owner, Personal use","$25,889 "
